# mapping_set_id: https://w3id.org/lmodel/iso42001/mappings/iso42001_to_iso27001
# mapping_set_version: 0.1.0
# mapping_set_title: ISO/IEC 42001:2023 to ISO/IEC 27001:2022 Schema Mappings
# mapping_set_description: Schema-level mappings between the ISO/IEC 42001:2023 (AI Management System) and ISO/IEC 27001:2022 (Information Security Management System) LinkML schemas. Both standards share the ISO Annex SL high-level structure, so most management-system classes, slots and harmonised enums align exactly or closely. Domain-specific elements (AI-system risks vs information-security risks, AISystem vs Asset) are recorded with skos:closeMatch or skos:relatedMatch.
# license: https://creativecommons.org/licenses/by/4.0/
# subject_source: https://w3id.org/lmodel/iso42001
# object_source: https://w3id.org/lmodel/iso27001
# mapping_date: 2026-06-01
# curie_map:
#   iso42001: https://w3id.org/lmodel/iso42001/
#   iso27001: https://w3id.org/lmodel/iso27001/
#   owl: http://www.w3.org/2002/07/owl#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	subject_label	subject_category	predicate_id	predicate_label	object_id	object_label	object_category	mapping_justification	comment
iso42001:NamedEntity	NamedEntity	owl:Class	skos:exactMatch	exact match	iso27001:NamedEntity	NamedEntity	owl:Class	semapv:LLMBasedMatching	Identical abstract base providing id/name/description across both schemas
iso42001:DocumentedInformation	DocumentedInformation	owl:Class	skos:exactMatch	exact match	iso27001:DocumentedInformation	DocumentedInformation	owl:Class	semapv:LLMBasedMatching	Annex SL Clause 7.5 documented-information abstraction shared verbatim between the two management-system standards
iso42001:Organization	Organization	owl:Class	skos:exactMatch	exact match	iso27001:Organization	Organization	owl:Class	semapv:LLMBasedMatching	Annex SL Clause 4.1 organisation/context entity; identical structure
iso42001:InterestedParty	InterestedParty	owl:Class	skos:exactMatch	exact match	iso27001:InterestedParty	InterestedParty	owl:Class	semapv:LLMBasedMatching	Annex SL Clause 4.2 interested-party concept; both include Amd. 1:2024 climate-change requirement slot
iso42001:Role	Role	owl:Class	skos:exactMatch	exact match	iso27001:Role	Role	owl:Class	semapv:LLMBasedMatching	Annex SL Clause 5.3 organisational role with responsibilities and authorities
iso42001:Resource	Resource	owl:Class	skos:exactMatch	exact match	iso27001:Resource	Resource	owl:Class	semapv:LLMBasedMatching	Annex SL Clause 7.1 resource entity
iso42001:CompetenceRecord	CompetenceRecord	owl:Class	skos:exactMatch	exact match	iso27001:CompetenceRecord	CompetenceRecord	owl:Class	semapv:LLMBasedMatching	Annex SL Clause 7.2 competence record
iso42001:AwarenessProgram	AwarenessProgram	owl:Class	skos:exactMatch	exact match	iso27001:AwarenessProgram	AwarenessProgram	owl:Class	semapv:LLMBasedMatching	Annex SL Clause 7.3 awareness programme
iso42001:CommunicationPlan	CommunicationPlan	owl:Class	skos:exactMatch	exact match	iso27001:CommunicationPlan	CommunicationPlan	owl:Class	semapv:LLMBasedMatching	Annex SL Clause 7.4 communication plan
iso42001:CommunicationItem	CommunicationItem	owl:Class	skos:exactMatch	exact match	iso27001:CommunicationItem	CommunicationItem	owl:Class	semapv:LLMBasedMatching	Communication line-item shared across the two MS schemas
iso42001:OperationalProcedure	OperationalProcedure	owl:Class	skos:exactMatch	exact match	iso27001:OperationalProcedure	OperationalProcedure	owl:Class	semapv:LLMBasedMatching	Annex SL Clause 8.1 operational procedure
iso42001:MonitoringProgram	MonitoringProgram	owl:Class	skos:exactMatch	exact match	iso27001:MonitoringProgram	MonitoringProgram	owl:Class	semapv:LLMBasedMatching	Annex SL Clause 9.1 monitoring programme
iso42001:MonitoringItem	MonitoringItem	owl:Class	skos:exactMatch	exact match	iso27001:MonitoringItem	MonitoringItem	owl:Class	semapv:LLMBasedMatching	Individual monitoring/measurement item per Clause 9.1
